Codice_ATS;Codice_Erogatore;Codice_Prestazione;Data_Rilevazione;N_utenti_inizio;N_prenotanti;N_follow_screening;N_URGENTI;N_Prima_Diagnosi
327;726003482;4516;08072022;220;6;59;0;161
327;726003482;4525;08072022;392;4;137;0;255
327;726003482;4542;08072022;4;3;1;0;3
327;726003482;4824;08072022;16;3;6;0;10
327;726003482;8703;08072022;14;1;2;0;12
327;726003482;87031;08072022;3;3;0;0;3
327;726003482;87371;08072022;839;1;775;0;64
327;726003482;87372;08072022;49;3;46;0;3
327;726003482;8741;08072022;58;11;21;0;37
327;726003482;87411;08072022;30;3;9;0;21
327;726003482;88012;08072022;7;3;1;0;6
327;726003482;88013;08072022;0;3;0;0;0
327;726003482;88014;08072022;0;3;0;0;0
327;726003482;88015;08072022;11;3;1;0;10
327;726003482;88016;08072022;20;1;7;0;13
327;726003482;88381;08072022;3;3;0;0;3
327;726003482;88382;08072022;0;3;0;0;0
327;726003482;88385;08072022;0;2;0;0;0
327;726003482;88714;08072022;35;4;11;0;24
327;726003482;88723;08072022;45;5;9;0;36
327;726003482;88731;08072022;40;3;27;0;13
327;726003482;88732;08072022;0;1;0;0;0
327;726003482;88735;08072022;419;4;164;0;255
327;726003482;88741;08072022;24;1;13;0;11
327;726003482;88751;08072022;81;2;27;0;54
327;726003482;88761;08072022;177;3;46;1;130
327;726003482;88772;08072022;205;6;53;2;150
327;726003482;8878;08072022;37;3;32;0;5
327;726003482;88782;08072022;0;3;0;0;0
327;726003482;88911;08072022;40;2;4;0;36
327;726003482;88912;08072022;35;1;9;0;26
327;726003482;8893;08072022;87;1;10;0;77
327;726003482;88931;08072022;10;3;5;0;5
327;726003482;88954;08072022;0;3;0;0;0
327;726003482;88955;08072022;20;1;1;0;19
327;726003482;8913;08072022;195;4;22;0;173
327;726003482;89261;08072022;0;3;0;0;0
327;726003482;89371;08072022;410;2;270;0;140
327;726003482;89372;08072022;410;4;174;0;236
327;726003482;8943;08072022;315;3;99;0;216
327;726003482;8950;08072022;236;1;83;1;152
327;726003482;8952;08072022;1740;6;789;2;949
327;726003482;897A3;08072022;211;5;44;1;166
327;726003482;897A6;08072022;47;4;5;0;42
327;726003482;897A7;08072022;134;3;14;1;119
327;726003482;897A8;08072022;175;3;31;0;144
327;726003482;897A9;08072022;111;4;7;0;104
327;726003482;897B2;08072022;277;2;30;0;247
327;726003482;897B6;08072022;5;3;0;0;5
327;726003482;897B7;08072022;359;11;43;1;315
327;726003482;897B8;08072022;255;3;37;2;216
327;726003482;897B9;08072022;85;2;18;0;67
327;726003482;897C2;08072022;144;1;52;0;92
327;726003482;93081;08072022;66;2;13;0;53
327;726003482;9502;08072022;449;1;74;0;375
327;726003482;95411;08072022;94;2;51;0;43
327;726003485;4516;08072022;57;3;11;0;46
327;726003485;4525;08072022;113;3;35;0;78
327;726003485;4542;08072022;1;3;0;0;1
327;726003485;4824;08072022;0;3;0;0;0
327;726003485;87371;08072022;104;1;73;0;31
327;726003485;87372;08072022;7;3;5;0;2
327;726003485;88714;08072022;0;3;0;0;0
327;726003485;88731;08072022;0;3;0;0;0
327;726003485;88732;08072022;0;3;0;0;0
327;726003485;88735;08072022;74;3;20;0;54
327;726003485;88741;08072022;0;3;0;0;0
327;726003485;88751;08072022;0;3;0;0;0
327;726003485;88761;08072022;0;3;0;0;0
327;726003485;88772;08072022;14;3;2;0;12
327;726003485;88782;08072022;0;3;0;0;0
327;726003485;8913;08072022;21;3;2;0;19
327;726003485;89261;08072022;0;3;0;0;0
327;726003485;89371;08072022;6;3;2;0;4
327;726003485;89372;08072022;192;1;95;0;97
327;726003485;8943;08072022;12;3;2;0;10
327;726003485;8950;08072022;133;4;69;0;64
327;726003485;8952;08072022;203;3;108;0;95
327;726003485;897A3;08072022;54;1;6;1;47
327;726003485;897A6;08072022;9;3;2;0;7
327;726003485;897A7;08072022;141;2;17;0;124
327;726003485;897A8;08072022;16;3;0;0;16
327;726003485;897A9;08072022;16;3;1;0;15
327;726003485;897B2;08072022;85;2;13;0;72
327;726003485;897B8;08072022;50;3;13;0;37
327;726003485;897B9;08072022;54;3;7;1;46
327;726003485;897C2;08072022;45;2;10;0;35
327;726003485;93081;08072022;36;3;6;0;30
327;726003485;9502;08072022;208;3;17;0;191
327;726003485;95411;08072022;0;3;0;0;0
327;726003489;88714;08072022;6;2;3;0;3
327;726003489;88735;08072022;20;3;10;0;10
327;726003489;88741;08072022;3;3;3;0;0
327;726003489;88751;08072022;0;3;0;0;0
327;726003489;88761;08072022;8;4;8;0;0
327;726003489;88772;08072022;8;1;0;0;8
327;726003489;8913;08072022;10;1;2;0;8
327;726003489;89261;08072022;0;3;0;0;0
327;726003489;8952;08072022;60;3;26;0;34
327;726003489;897A3;08072022;10;3;1;0;9
327;726003489;897A6;08072022;2;3;1;0;1
327;726003489;897B7;08072022;0;3;0;0;0
327;726003489;897B8;08072022;25;1;4;0;21
327;726003489;897C2;08072022;12;3;3;0;9
327;726003491;88714;08072022;159;1;72;0;87
327;726003491;88731;08072022;78;3;43;0;35
327;726003491;88732;08072022;2;3;0;0;2
327;726003491;88735;08072022;151;3;42;0;109
327;726003491;88741;08072022;107;2;37;0;70
327;726003491;88751;08072022;14;3;2;0;12
327;726003491;88761;08072022;318;4;141;0;177
327;726003491;88772;08072022;57;3;13;0;44
327;726003491;8913;08072022;8;1;0;0;8
327;726003491;89261;08072022;0;3;0;0;0
327;726003491;8952;08072022;113;6;33;0;80
327;726003491;897A3;08072022;42;5;4;0;38
327;726003491;897A6;08072022;11;3;3;0;8
327;726003491;897A8;08072022;70;2;5;0;65
327;726003491;897B2;08072022;85;1;9;0;76
327;726003491;897B8;08072022;36;2;1;0;35
327;726003491;897C2;08072022;20;3;4;0;16
327;726003491;9502;08072022;145;3;5;0;140
